molecule_chembl_id,canonical_smiles,standard_value
CHEMBL359893,Nc1nc(N2CCCCC2)c(Cl)nc1C(=O)Nc1ccccn1,103.0
CHEMBL181169,CC(C)Nc1nc(N)c(C(=O)Nc2ccccn2)nc1Cl,23.0
CHEMBL181610,Nc1nc(N)c(C(=O)Nc2ccccn2)nc1Cl,3800.0
CHEMBL361556,Nc1ncc(Cl)nc1C(=O)Nc1ccccn1,11.0
CHEMBL178841,O=C(Nc1ccccn1)c1cncc(Cl)n1,254.0
CHEMBL178683,Cc1cncc(C(=O)Nc2ccccn2)n1,165.0
CHEMBL361116,Nc1nccnc1C(=O)Nc1ccccn1,3536.0
CHEMBL179387,CNc1ncc(Cl)nc1C(=O)Nc1ccccn1,145.0
CHEMBL361973,Cc1cccc(NC(=O)c2nc(Cl)cnc2N)n1,5.0
CHEMBL180713,Cc1cccc(NC(=O)c2nc(C)cnc2N)n1,8.0
CHEMBL441117,Cc1cccc(NC(=O)c2cccc(C)n2)n1,32.0
CHEMBL180964,Cc1cccc(NC(=O)c2nc(C)ccc2O)n1,7.0
CHEMBL181332,Cc1cccc(NC(=O)c2cccc(Br)n2)n1,21.0
CHEMBL181424,Cc1cccc(NC(=O)c2nc(C)ccc2N)n1,22.0
CHEMBL181769,Cc1cccc(NC(=O)c2nc(C)ccc2Nc2cccnc2)n1,11.0
CHEMBL182762,Nc1ncc(Br)nc1C(=O)Nc1ccccn1,12.0
CHEMBL183081,Cc1cnc(N)c(C(=O)Nc2ccccn2)n1,28.0
CHEMBL361795,N#Cc1cccc(-c2nc(-c3ccccn3)no2)c1,100.0
CHEMBL361120,N#Cc1cccc(-c2ccn(-c3ccccn3)c2)c1,4620.0
CHEMBL361325,N#Cc1cccc(-n2ccc(-c3ccccn3)c2)c1,190.0
CHEMBL182771,N#Cc1cccc(-c2ccn(-c3ccccn3)n2)c1,3600.0
CHEMBL182558,N#Cc1cccc(-n2ccc(-c3ccccn3)n2)c1,440.0
CHEMBL182973,N#Cc1cccc(-c2cnn(-c3ccccn3)c2)c1,890.0
CHEMBL362217,Cc1nc(C#Cc2ccc(-c3ccccn3)nc2)cs1,4.0
CHEMBL369310,Cc1nc(C#Cc2ccc(-c3cccnc3)nc2)cs1,2.0
CHEMBL181411,Cc1nc(C#Cc2ccc(-c3ccncc3)nc2)cs1,29.0
CHEMBL181915,Cc1nc(C#Cc2ccccc2C)cs1,15.0
CHEMBL182950,Cc1cccc(C#Cc2csc(C)n2)c1,2.0
CHEMBL185813,Cc1ccc(C#Cc2csc(C)n2)cc1,845.0
CHEMBL183608,Cc1nc(C#Cc2ccccc2-c2ccccc2)cs1,423.0
CHEMBL365403,Cc1nc(C#Cc2cccc(-c3ccccc3)c2)cs1,41.0
CHEMBL185078,Cc1nc(C#Cc2ccc(-c3ccccc3)cc2)cs1,22.0
CHEMBL185365,Cc1nc(C#Cc2cncc(-c3ccccc3)c2)cs1,2.0
CHEMBL183230,Cc1nc(C#Cc2cncc(-c3ccccn3)c2)cs1,22.0
CHEMBL183864,Cc1nc(C#Cc2cncc(-c3cccnc3)c2)cs1,3.0
CHEMBL182130,Cc1nc(C#Cc2cncc(-c3ccncc3)c2)cs1,18.0
CHEMBL184995,Cc1nc(C#Cc2ccc(-c3ccccc3)nc2)cs1,0.5
CHEMBL364982,Cc1cccc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)c1,1171.0
CHEMBL184691,Cc1ccc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)cc1,1546.0
CHEMBL186127,Clc1ccc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)cc1,3000.0
CHEMBL359590,Fc1cc(-c2ccccc2)cc(-n2nnc(-c3ccccn3)n2)c1,247.0
CHEMBL184077,Fc1cc(-c2ccccc2Cl)cc(-n2nnc(-c3ccccn3)n2)c1,108.0
CHEMBL363108,Fc1cc(-c2c(F)cccc2F)cc(-n2nnc(-c3ccccn3)n2)c1,108.0
CHEMBL359575,Cc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,120.0
CHEMBL186987,Oc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,201.0
CHEMBL363446,COc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,271.0
CHEMBL363013,Fc1cc(-c2ccccc2F)cc(-n2nnc(-c3ccccn3)n2)c1,287.0
CHEMBL187242,O=[N+]([O-])c1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,307.0
CHEMBL186378,Fc1cc(-c2ccccc2OC(F)(F)F)cc(-n2nnc(-c3ccccn3)n2)c1,316.0
CHEMBL414661,O=Cc1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,359.0
CHEMBL359574,NC(=O)c1ccccc1-c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,389.0
CHEMBL184668,Fc1cc(-c2ccccc2Oc2ccccc2)cc(-n2nnc(-c3ccccn3)n2)c1,418.0
